City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Faya,SA,2021-05-31 16:11:39,18.3851,42.4509,81.12,13,1,14.5,clear sky
119,Jamestown,US,2021-05-31 16:11:07,42.097,-79.2353,66.18,43,1,4.0,clear sky
120,Bethel,US,2021-05-31 16:12:51,41.3712,-73.414,57.7,79,90,1.99,overcast clouds
121,Ca Mau,VN,2021-05-31 16:14:45,9.1769,105.15,80.91,85,78,4.29,broken clouds
122,Hambantota,LK,2021-05-31 16:14:45,6.1241,81.1185,81.27,81,76,20.56,broken clouds
123,Castro,BR,2021-05-31 16:12:05,-24.7911,-50.0119,57.42,97,100,2.39,overcast clouds
124,Atuona,PF,2021-05-31 16:11:19,-9.8,-139.0333,78.85,68,36,11.83,scattered clouds
125,Orkney,ZA,2021-05-31 16:14:46,-26.9802,26.6727,60.6,24,47,8.43,scattered clouds
126,Skibbereen,IE,2021-05-31 16:14:46,51.55,-9.2667,57.0,85,100,12.15,overcast clouds
127,Birao,CF,2021-05-31 16:14:47,10.2849,22.7882,100.71,19,79,9.31,broken clouds
128,Saint-Francois,FR,2021-05-31 16:14:47,46.4154,3.9054,77.18,44,0,6.91,clear sky
129,Matagami,CA,2021-05-31 16:14:29,49.7502,-77.6328,67.28,36,82,8.86,broken clouds
130,Matamoros,MX,2021-05-31 16:14:48,25.5333,-103.25,86.11,47,75,4.12,broken clouds
131,Arraial Do Cabo,BR,2021-05-31 16:12:41,-22.9661,-42.0278,73.26,88,90,5.75,light intensity drizzle
132,Torbay,CA,2021-05-31 16:10:59,47.6666,-52.7314,53.1,54,67,14.34,broken clouds
133,Touros,BR,2021-05-31 16:12:09,-5.1989,-35.4608,85.1,63,80,14.16,broken clouds
134,Cape Town,ZA,2021-05-31 16:06:32,-33.9258,18.4232,58.26,92,54,1.99,broken clouds
135,Sovetskiy,RU,2021-05-31 16:14:49,61.3614,63.5842,49.24,44,40,7.23,scattered clouds
136,Tautira,PF,2021-05-31 16:14:49,-17.7333,-149.15,71.62,63,45,14.16,scattered clouds
137,Aiken,US,2021-05-31 16:14:50,33.5835,-81.5998,76.35,55,90,7.47,overcast clouds
138,Cidreira,BR,2021-05-31 16:14:50,-30.1811,-50.2056,60.04,40,0,8.72,clear sky
139,Pangnirtung,CA,2021-05-31 16:11:52,66.1451,-65.7125,33.4,94,41,2.15,scattered clouds
140,Sterlibashevo,RU,2021-05-31 16:14:50,53.4376,55.2578,59.34,82,78,10.49,broken clouds
141,Bredasdorp,ZA,2021-05-31 16:11:34,-34.5322,20.0403,55.27,86,24,7.76,few clouds
142,Iiyama,JP,2021-05-31 16:14:51,36.85,138.3667,58.77,83,91,0.92,overcast clouds
143,Aljezur,PT,2021-05-31 16:14:51,37.3191,-8.8033,67.71,66,22,9.33,few clouds
144,Gushikawa,JP,2021-05-31 16:14:53,26.3544,127.8686,76.23,84,75,15.12,broken clouds
145,Lagoa,PT,2021-05-31 16:11:25,39.05,-27.9833,61.0,78,100,20.18,overcast clouds
146,Minchinabad,PK,2021-05-31 16:14:53,30.163,73.5685,92.43,27,71,8.23,broken clouds
147,Sao Filipe,CV,2021-05-31 16:11:59,14.8961,-24.4956,74.77,74,10,15.3,clear sky
148,Hay River,CA,2021-05-31 16:08:02,60.8156,-115.7999,52.45,55,67,5.37,broken clouds
149,Broken Hill,AU,2021-05-31 16:14:54,-31.95,141.4333,52.16,45,99,8.79,overcast clouds
150,Dunmore Town,BS,2021-05-31 16:14:54,25.5,-76.65,78.75,79,16,12.53,few clouds
151,Leningradskiy,RU,2021-05-31 16:11:44,69.3833,178.4167,28.81,94,88,11.52,overcast clouds
152,Bengkulu,ID,2021-05-31 16:12:24,-3.8004,102.2655,77.86,89,100,3.47,overcast clouds
153,Neyshabur,IR,2021-05-31 16:14:55,36.2133,58.7958,88.14,14,66,13.13,broken clouds
154,Te Anau,NZ,2021-05-31 16:11:44,-45.4167,167.7167,39.45,92,50,2.82,scattered clouds
155,Qaanaaq,GL,2021-05-31 16:10:51,77.484,-69.3632,33.22,89,100,2.35,overcast clouds
156,Dikson,RU,2021-05-31 16:11:26,73.5069,80.5464,30.74,97,100,15.52,light snow
157,Bata,GQ,2021-05-31 16:14:56,1.8639,9.7658,82.31,84,95,11.34,moderate rain
158,Puerto Leguizamo,CO,2021-05-31 16:14:56,-0.1934,-74.7819,74.26,96,100,2.86,moderate rain
159,Bandarbeyla,SO,2021-05-31 16:12:10,9.4942,50.8122,79.59,82,89,27.65,overcast clouds
160,Tongren,CN,2021-05-31 16:14:57,27.7172,109.1853,72.93,80,86,0.94,light rain
161,Sibolga,ID,2021-05-31 16:11:49,1.7427,98.7792,77.68,89,99,2.33,overcast clouds
162,Esperance,AU,2021-05-31 16:12:39,-33.8667,121.9,57.04,83,100,26.49,overcast clouds
163,Mahibadhoo,MV,2021-05-31 16:14:57,3.7833,72.9667,83.71,67,66,19.55,broken clouds
164,Baguanos,CU,2021-05-31 16:14:58,20.7517,-76.0269,86.29,63,22,10.94,few clouds
165,Grand Gaube,MU,2021-05-31 16:12:35,-20.0064,57.6608,73.38,76,0,5.01,clear sky
166,Finspang,SE,2021-05-31 16:14:58,58.7058,15.7674,72.12,65,100,5.46,overcast clouds
167,Vestmannaeyjar,IS,2021-05-31 16:14:59,63.4427,-20.2734,46.78,81,100,18.99,overcast clouds
168,Mahajanga,MG,2021-05-31 16:14:59,-15.7167,46.3167,78.82,83,20,9.22,few clouds
