City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Gisborne,NZ,2021-05-31 02:20:00,-38.6533,178.0042,57.94,67,49,4.05
124,Ucluelet,CA,2021-05-31 02:15:12,48.9329,-125.5528,65.95,80,95,1.28
125,Pedernales,DO,2021-05-31 02:20:01,18.0384,-71.744,79.84,73,8,6.22
126,Norman Wells,CA,2021-05-31 02:20:01,65.282,-126.8329,55.44,54,75,11.5
127,Barrow,US,2021-05-31 02:20:01,71.2906,-156.7887,33.82,80,90,16.11
128,Saint Anthony,US,2021-05-31 02:20:04,45.0205,-93.218,61.12,83,75,3.0
129,Dingle,PH,2021-05-31 02:20:04,10.9995,122.6711,87.31,67,34,3.42
130,Mount Gambier,AU,2021-05-31 02:20:05,-37.8333,140.7667,53.51,50,100,14.97
131,Robe,AU,2021-05-31 02:20:05,-37.1833,139.75,55.47,50,85,18.59
132,Maamba,ZM,2021-05-31 02:20:05,-17.3667,27.15,56.93,42,19,2.06
133,Mataura,NZ,2021-05-31 02:20:06,-46.1927,168.8643,49.48,98,100,4.9
134,Vardo,NO,2021-05-31 02:20:06,70.3705,31.1107,42.96,89,100,16.84
135,Arman,RU,2021-05-31 02:20:06,59.7,150.1667,37.22,98,100,5.28
136,Cabo San Lucas,MX,2021-05-31 02:20:07,22.8909,-109.9124,86.5,34,1,17.27
137,Mahebourg,MU,2021-05-31 02:20:07,-20.4081,57.7,71.26,94,20,6.91
138,Esperance,AU,2021-05-31 02:20:07,-33.8667,121.9,60.64,82,100,24.4
139,Torres,BR,2021-05-31 02:20:08,-29.3353,-49.7269,50.31,76,85,3.74
140,Ajaccio,FR,2021-05-31 02:16:50,42.0,8.9167,59.05,77,90,5.03
141,San Patricio,US,2021-05-31 02:20:08,28.017,-97.5169,80.83,79,18,11.74
142,Lebu,CL,2021-05-31 02:20:09,-37.6167,-73.65,53.91,94,100,11.25
143,Kochevo,RU,2021-05-31 02:20:09,59.5994,54.3125,38.21,70,52,8.63
144,Hithadhoo,MV,2021-05-31 02:20:09,-0.6,73.0833,83.79,70,8,18.21
145,Belaya Gora,RU,2021-05-31 02:20:10,68.5333,146.4167,66.9,28,14,13.0
146,Evensk,RU,2021-05-31 02:20:10,61.95,159.2333,41.76,85,100,3.4
147,Churapcha,RU,2021-05-31 02:20:10,62.0025,132.4325,58.57,47,100,5.77
148,Necochea,AR,2021-05-31 02:15:40,-38.5473,-58.7368,51.04,56,100,19.6
149,Bonavista,CA,2021-05-31 02:20:11,48.6499,-53.1147,44.6,75,25,7.43
150,Kaitangata,NZ,2021-05-31 02:20:11,-46.2817,169.8464,55.92,89,100,7.38
151,Autun,FR,2021-05-31 02:20:12,46.95,4.3,48.65,83,0,3.69
